name,artist,gender,lyrics
STAY (with Justin Bieber),Justin Bieber,0,"1 ContributorToday’s Top Hits 11/5/21 (feat. Post Malone & The Weeknd) Lyrics1. Post Malone - One Right Now (with The Weeknd) (NEW)

2. Ed Sheeran - Shivers (+5)

3. Adele - Easy On Me (-1)

4. The Kid LAROI - Stay (with Justin Bieber) (-1)

5. Travis Scott - ESCAPE PLAN (NEW)

6. Lil Nas X - INDUSTRY BABY (feat. Jack Harlow) (-2)

7. CKay - love nwantiti (ah ah ah) (+1)

8. Glass Animals - Heat Waves (-3)

9. Elton John & Dua Lipa - Cold Heart (PNAU Remix) (+3)

10. Ed Sheeran - Overpass Graffiti (-9)

11. LISA - MONEY (-5)

12. Doja Cat - Woman (-3)

13. Justin Bieber - Ghost (+1)
14. Bruno Mars, Andersson .Paak & Silk Sonic - Smokin Out The Window (NEW)

15. Swedish House Mafia - Moth To A Flame (with The Weeknd) (-5)

16. NEIKED, Mae Muller & Polo G - Better Days (NEIKED x Mae Muller x Polo G) (+4)

17. Benson Boone - GHOST TOWN (+16)

18. Coldplay & BTS - My Universe (-7)

19. Ed Sheeran - Bad Habits (-4)

20. Lil Nas X - THATS WHAT I WANT (-7)

21. Billie Eilish - Happier Than Ever (Edit) (-5)

22. Olivia Rodrigo - good 4 u (-5)

23. Oliver Tree - Life Goes On (-1)

24. Doja Cat - Need To Know (-6)

25. Lost Frequеncies & Calum Scott - Where Arе You Now (=)

26. Tiësto & KAROL G - Don't Be Shy (-5)
27. Farruko - Pepas (-1)

28. Måneskin - Beggin' (-5)

29. Lil Nas X - MONTERO (Call Me By Your Name) (-5)

30. The Weeknd - Take My Breath (-3)

31. Joel Corry & Jax Jones - OUT OUT (feat. Charli XCX & Saweetie) (-3)

32. DJ Snake - SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK) (-3)

33. Kanye West - Praise God (NEW)

34. Doja Cat - Kiss Me More (feat. SZA) (-4)

35. THE ANXIETY, WILLOW & Tyler Cole - Meet Me At Our Spot (-3)

36. Young Thug - Livin It Up (with Post Malone & A$AP Rocky) (-5)

37. Myke Towers, Camila Cabello & Tainy - Oh Na Na (-18)

38. Jason Derulo - Acapulco (-2)

39. BoyWithUke - Toxic (-1)
40. bbno$ - edamame (feat. Rich Brian) (-3)

41. Olivia Rodrigo - traitor (-7)

42. Coldplay & Selena Gomez - Let Somebody God (-7)

43. Dua Lipa - Levitating (feat. DaBaby) (-2)

44. Sleepy Hallow - 2055 (-5)

45. Blxst & Tyga - Chosen (feat. Ty Dolla $ign) (-1)

46. Tai Verdes - A-O-K (-3)

47. Camila Cabello - Don't Go Yet (-5)

48. Clinton Kane - I GUESS I'M IN LOVE (+2)

49. Chlöe - Have Mercy (-3)

50. Drake - Way 2 Sexy (with Future & Young Thug) (-10)Embed"
Ghost,Justin Bieber,0,"116 Lyrics[Verse 1]
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life

[Verse 2]
Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me
Your memory is ecstasy (Oh)
I miss you more than life
I miss you more than life
You might also like[Bridge]
Woah
Na-na-na
More than life (Oh)

[Chorus]
So if I can't get close to you
I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life19Embed"
Love Yourself,Justin Bieber,0,"223 Lyrics[Verse 1]
For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness' sake
You think I'm cryin' on my own, well, I ain't

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
You might also like[Verse 2]
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
[Bridge]
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
[Produced by Benny Blanco]150Embed"
Sorry,Justin Bieber,0,"202 Lyrics[Written by Julia Michaels, Justin Tranter, and Justin Bieber]

[Verse 1]
You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice, I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
You might also like[Verse 2]
I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?101Embed"
Beauty And A Beat,Justin Bieber,0,"134 Lyrics[Intro: Nicki Minaj]
Yeah
Young Money
Nicki Minaj
Justin, rrr

[Verse 1: Justin Bieber]
Show you off
Tonight, I wanna show you off (Ayy-ayy-ayy)
What you got
A billion could've never bought (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber]
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do
Cause all-
You might also like[Instrumental Drop]

[Verse 2: Justin Bieber]
Body rock
Girl, I can feel your body rock (Ayy-ayy-ayy)
Take a bow
You're on the hottest ticket now, ooh (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I want to show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber & Nicki Minaj]
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do (Uh, uh)
Cause all-

[Verse 3: Nicki Minaj, Justin Bieber]
I-I-I-I-In time, ink lines
B-B-Bitches couldn't get on my incline
World tours, i-i-it's mine
Ten little letters on a big sign
Justin Bieber
You know I'ma hit 'em with the ether
Buns out, wiener
But I gotta keep an eye out for Selener
B-B-Beauty, beauty and the beast
Beauty from the East
Beautiful confessions of the priest
Beast, beauty from the streets
Beat will get deceased
Every time Beauty on the beat eats
Body rock (Yeah, yeah)
Oh (Yeah, yeah)
I wanna feel your body rock (Let's go, let's go)
(Frrrrr, yeah)
[Chorus: Justin Bieber]
'Cause all I need (All I need is love)
Is a beauty and a beat (A beat)
Who can make my life complete (Complete, oh-oh-oh, oh woah)
It's all 'bout you (All I need is you)
When the music makes you move
Baby, do it like you do (Do)
Cause all-

[Instrumental Drop]46Embed"
Baby,Justin Bieber,0,"242 Lyrics[Produced by The-Dream and Tricky Stewart]

[Intro: Justin Bieber]
Oh, woah
Oh, woah
Oh, woah

[Verse 1: Justin Bieber & Ludacris]
You know you love me (Yo), I know you care (Uh-huh)
Just shout whenever (Yo), and I'll be there (Uh-huh)
You are my love (Yo), you are my heart (Uh-huh)
And we will never, ever, ever be apart (Yo, uh-huh)
Are we an item? (Yo) Girl, quit playin' (Uh-huh)
We're just friends (Yo), what are you sayin'? (Uh-huh)
Said, ""There's another"" (Yo), and looked right in my eyes (Uh-huh)
My first love broke my heart for the first time, and I was like (Yo, uh-huh)

[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
You might also like[Verse 2: Justin Bieber & Ludacris]
Oh, for you, I would've done whatever (Uh-huh)
And I just can't believe we ain't together (Yo, uh-huh)
And I wanna play it cool (Yo), but I'm losin' you (Uh-huh)
I'll buy you anything (Yo), I'll buy you any ring (Uh-huh)
And I'm in pieces (Yo), baby, fix me (Uh-huh)
And just shake me till you wake me from this bad dream (Yo, uh-huh)
I'm goin' down (Yo), down, down, down (Uh-huh)
And I just can't believe my first love won't be around, and I'm like

[Chorus: Justin Bieber & Ludacris]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine (Luda!)

[Verse 3: Ludacris]
When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazing
And now my heart is breakin', but I just keep on sayin'
[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine

[Outro: Justin Bieber]
I'm gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Gone, gone, gone, gone), I'm gone73Embed"
bad guy,Justin Bieber,0,"111 Lyrics[Intro: Billie Eilish & Justin Bieber]
Hmm, da-da-da-da-da
Da-da-da, hmm
Da-da-da-hmm (Yeah, yeah)
Oh, ah

[Verse 1: Billie Eilish]
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul so cynical

[Chorus: Billie Eilish]
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh
You might also like[Post-Chorus: Billie Eilish]
I'm the bad guy

[Verse 2: Justin Bieber]
Gold teeth, my neck, my wrist is froze (So icy)
I got more ice than, than the snow
That guy, don't act like you don't know
That guy, so critical (Skrrt)
Tattoos on both my sleeves
Yeah, I don't sleep, please don't wake me
Loosen my tie up so I can breathe
It ain't political, oh no (Uh-uh)

[Chorus: Justin Bieber & Billie Eilish]
Yeah, I'm a bad guy
Ain't no holdin' back guy
Come off like I'm mad guy
Always got your back guy
Yeah, I'm the real type
Keep you full of thrills type
Show you what it feels like
Got an open invite
I'm the bad guy, woah-ooh
(Duh)

[Post-Chorus: Billie Eilish]
I'm the bad guy
Duh
I'm only good at bein' bad, bad
[Bridge: Billie Eilish & Justin Bieber]
(Ahh)
(Ah)
I like when you get mad
I guess I'm pretty glad that you're alone (So icy)
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne (Let's go)

[Outro: Billie Eilish & Justin Bieber]
I'm a bad guy (Damn right)
I-I'm a bad guy (Bad guy, aw, yeah, bad guy)
I'm a bad...27Embed"
I Don't Care (with Justin Bieber),Justin Bieber,0,"2 ContributorsNew Music Friday 05/10/19 LyricsEd Sheeran - I Don't Care (with Justin Bieber)
Logic - Icy (feat. Gucci Mane)
Avicii - Tough Love
Russ - Civil War
Mary J. Blige - Thriving (with Nas)
Ari Lennox - BMO
blink-182 - Blame It On My Youth
Mustard - 100 Bands (feat. Quavo, 21 Savage, Meek Mill & YG)
David Guetta - Stay (Don't Go Away) [feat. Raye]
Lil Keed - Proud Of Me (feat. Young Thug)
Gia Woods - One Big Party
Major Lazer - Can't Take It From Me (feat. Skip Marley)
SG Lewis - Flames (feat. Ruel)
Jhene Aiko - Triggered (freestyle)
Logic - COMMANDO (feat. G-Eazy)
Ciara - Beauty Marks
Ingrid Michaelson - Missing You
Barns Courtney - You And I
Madonna - Crave (with Swae Lee)
LIVVIA - Dizzy
James Bay - Bad
Smokepurpp - Walk On Water
Marlo - Soakin Wet
$uicideBoy$ - nothingleftnothingleft ($UICIDEBOY$ X TRAVIS BARKER)
Bene - Evil Spider
Leven Kali - 1 On 1
James Arthur - Falling like the Stars
Carly Rae Jepsen - Too Much
teamwork. - Afterhours
ZAYN - A Whole New World (End Title) - From ""Aladdin""
Skepta - Greaze Mode
jesse saint john - Alex's Song
AURORA - The River
Aazar - Diva (with Swae Lee & Tove Lo)
Dimitri Vegas & Like Mike - Best Friend's Ass (feat. Paris Hilton)
Stunna 4 Vegas - Ashley (feat. DaBaby)
Meghan Trainor - Badass Woman
Kim Petras - Blow It All
A$AP Ferg - Pups (feat. A$AP Rocky)
Denzel Curry - RICKY
OMB Bloodbath - My Body
Lunay - Soltera - Remix
CXLOE - Low Blow
John The Blind - Paranoid
Luke Combs - Beer Never Broke My Heart
Dinah Jane - Retrograde
gnash - i'm so sad
Quando Rondo - Imperfect Flower
Mac DeMarco - On The Square
Young Nudy - Shotta (feat. Megan Thee Stallion)
Whethan - Let Me Take You (feat. Jeremih)
Ambjaay - Uno
Mike Bahía - La Lá
Charly Bliss - Young Enough
ILOVEMAKONNEN - Drunk on Saturday
Elohim - braindead
R3HAB - Don’t Give Up On Me Now (with Julie Bergan)
Mozzy - Winning (feat. Lil Poppa)
Yung Pinch - Wink Emoji (feat. GASHI)
Juke Ross - Burned By The Love
83 Babies - No Cap (feat. Rich The Kid)
Grace Carter - Don't Hurt Like It Used To
girl in red - dead girl in the pool.
Jamila Woods - BALDWIN
Tee Grizzley - Locked Up
Calboy - Caroline (feat. Polo G)
Shaggy - Body Good (feat. Nicky Jam)
Sam Feldt - Magnets (feat. Sophie Simmons)
Gorgon City - Go Slow (with Kaskade)
Flying Lotus - More
SAFE - Red Light
Marc Anthony - Lo Que Te Di
MK - Body 2 Body
JAMESDAVIS - I Will
Isaac Dunbar - cologne
Phantom Planet - BALISONG
Jay Gwuapo - From Nothing (feat. Lil Tjay & Don Q)
Valentino Khan - Pony
mxmtoon - prom dress
Silversun Pickups - Freakazoid
Generationals - I Turned My Back on the Written Word
Raveena - Mama
FISHER - You Little Beauty
In Real Life - Somebody Like You
Lightshow - Your Side, My Side (feat. Wale)
Yoshi Flower - validation
Maxo Kream - She Live (feat. Megan Thee Stallion)
D Savage - WYTD
Vanic - Save Yourself
Dalex - Cuaderno
Shoreline Mafia - Vicious
Emotional Oranges - Good To Me
Moontower - Part 2
Vince Gill - A Letter To My Mama
Crumb - Ghostride
Jean Watts - Feel The Same
Eddington Again - Sweet
MEMBA - Walls Down
Dutch Melrose - White WineEmbed"
Mistletoe,Justin Bieber,0,"57 Lyrics[Verse 1]
It's the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe

[Verse 2]
Everyone's gathering around the fire
Chestnuts roasting like a hot July
I should be chilling with my folks, I know
But I'ma be under the mistletoe
Word on the street, Santa's coming tonight
Reindeer's flying through the sky so high
I should be making a list, I know
But I'ma be under the mistletoe

[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe
You might also like[Bridge]
Ayy love, the wise men followed the star
The way I followed my heart
And it led me to a miracle
Ayy love, don't you buy me nothing
'Cause I am feeling one thing, your lips on my lips
That's a merry, merry Christmas

[Verse 1]
It's the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe, yeah
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe (Under the mistletoe)
[Outro]
Kiss me underneath the mistletoe
Show me, baby, that you love me so-oh-oh, oh, oh, oh
Kiss me underneath the mistletoe
Show me, baby, that you love me so-oh-oh, oh, oh, oh25Embed"
What Do You Mean?,Justin Bieber,0,"132 Lyrics[Intro]

[Chorus]
What do you mean?  Oh, oh
When you nod your head yes, but you wanna  say no
What do you mean?  Hey, yeah
When you don't want me to move, but you tell me to go
What do  you mean? Oh,  what do you mean?
Said you're runnin' outta time,  what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

[Verse 1]
You're so indecisive of what I'm sayin'
Tryna catch the beat, make up your heart
Don't know if you're happy or complainin'
Don't want for us to end, where do I start?

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right (Right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then  between ('Tween)
Oh, I really wanna know

[Chorus]
What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? Oh, what do you mean?
Said you're runnin' outta time, what do you mean?
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean?
You might also like[Verse 2]
You're overprotective when I'm leavin'
Tryna compromise, but I can’t win
You wanna make a point, but you keep preachin'
You had me from the start, won't let this end

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right
(Turn right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then between ('Tween)
Oh, I really wanna know

[Chorus]
What do you mean? Oh, oh (Yeah, yeah, yeah, yeah)
When you nod your head yes, but you wanna say no
What do you mean? (Oh, what do you mean?) Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? (I wanna know, ooh)
Oh, what do you mean? (Ooh)
Said you're runnin' outta time, what do you mean? (Oh, baby)
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean? (Don't be so selfish, baby, yeah, yeah) Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? (You're so confusin', baby) Hey, yeah
When you don't want me to move (Hey), but you tell me to go
What do you mean? (Be more straightforward)
Oh, what do you mean? (Hey, ah, ah, ah)
Said you're runnin' outta time, what do you mean? (Hey, ah, ah, ah)
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?84Embed"
