name,artist,gender
STAY (with Justin Bieber),Justin Bieber,0
Ghost,Justin Bieber,0
Love Yourself,Justin Bieber,0
Sorry,Justin Bieber,0
Beauty And A Beat,Justin Bieber,0
Baby,Justin Bieber,0
Mistletoe,Justin Bieber,0
bad guy,Justin Bieber,0
I Don't Care (with Justin Bieber),Justin Bieber,0
What Do You Mean?,Justin Bieber,0
Die With A Smile,Bruno Mars,0
APT.,Bruno Mars,0
Locked out of Heaven,Bruno Mars,0
Just the Way You Are,Bruno Mars,0
That's What I Like,Bruno Mars,0
When I Was Your Man,Bruno Mars,0
Grenade,Bruno Mars,0
It Will Rain,Bruno Mars,0
Talking to the Moon,Bruno Mars,0
Marry You,Bruno Mars,0
Shape of You,Ed Sheeran,0
Perfect,Ed Sheeran,0
Photograph,Ed Sheeran,0
Shivers,Ed Sheeran,0
Thinking out Loud,Ed Sheeran,0
I Don't Care (with Justin Bieber),Ed Sheeran,0
Bad Habits,Ed Sheeran,0
Castle on the Hill,Ed Sheeran,0
Merry Christmas,Ed Sheeran,0
Galway Girl,Ed Sheeran,0
Low (feat. T-Pain),Flo Rida,0
Right Round,Flo Rida,0
Wild Ones (feat. Sia),Flo Rida,0
My House,Flo Rida,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,0
Good Feeling,Flo Rida,0
Whistle,Flo Rida,0
I Cry,Flo Rida,0
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,0
Sugar (feat. Wynter),Flo Rida,0
"Happy - From ""Despicable Me 2""",Pharrell Williams,0
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Pharrell Williams,0
Committed,Pharrell Williams,0
"Double Life - From ""Despicable Me 4""",Pharrell Williams,0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Pharrell Williams,0
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Pharrell Williams,0
Neon Guts (feat. Pharrell Williams),Pharrell Williams,0
Lose Yourself to Dance (feat. Pharrell Williams),Pharrell Williams,0
Hit Different,Pharrell Williams,0
Cash In Cash Out,Pharrell Williams,0
We Found Love,Rihanna,1
Only Girl (In The World),Rihanna,1
Love On The Brain,Rihanna,1
Umbrella,Rihanna,1
Stay,Rihanna,1
S&M,Rihanna,1
Don't Stop The Music,Rihanna,1
Diamonds,Rihanna,1
Breakin' Dishes,Rihanna,1
Needed Me,Rihanna,1
we can't be friends (wait for your love),Ariana Grande,1
Santa Tell Me,Ariana Grande,1
the boy is mine,Ariana Grande,1
One Last Time,Ariana Grande,1
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,Ariana Grande,1
7 rings,Ariana Grande,1
intro (end of the world),Ariana Grande,1
Die For You (with Ariana Grande) - Remix,Ariana Grande,1
Dangerous Woman,Ariana Grande,1
Into You,Ariana Grande,1
Cruel Summer,Taylor Swift,1
Fortnight (feat. Post Malone),Taylor Swift,1
I Can Do It With a Broken Heart,Taylor Swift,1
august,Taylor Swift,1
cardigan,Taylor Swift,1
Lover,Taylor Swift,1
Don’t Blame Me,Taylor Swift,1
Anti-Hero,Taylor Swift,1
Blank Space,Taylor Swift,1
Guilty as Sin?,Taylor Swift,1
Starships,Nicki Minaj,1
Bang Bang,Nicki Minaj,1
AGATS2 (Insecure) [with Nicki Minaj],Nicki Minaj,1
Super Bass,Nicki Minaj,1
Tusa,Nicki Minaj,1
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nicki Minaj,1
Super Freaky Girl,Nicki Minaj,1
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,1
The Night Is Still Young,Nicki Minaj,1
FTCU,Nicki Minaj,1
Toxic,Britney Spears,1
...Baby One More Time,Britney Spears,1
Gimme More,Britney Spears,1
Oops!...I Did It Again,Britney Spears,1
Circus,Britney Spears,1
Womanizer,Britney Spears,1
My Only Wish (This Year),Britney Spears,1
Hold Me Closer,Britney Spears,1
Criminal,Britney Spears,1
If U Seek Amy,Britney Spears,1
