Track Name,Track ID,Artists,Artist Count
into you,76FZM38RC8XaAjJ77CVTNe,ariana grande,1
glad you came,5yDL13y5giogKs2fSNf7sj,the wanted,1
dark horse,5jrdCoLpJSvHHorevXBATy,katy perry,2
dark horse,5jrdCoLpJSvHHorevXBATy,juicy j,2
who knew  edit,2hns6Dv29Yrg68AVTJiAyA,p!nk,1
closer,7BKLCZ1jbUBVqRi2FVlTVw,the chainsmokers,2
closer,7BKLCZ1jbUBVqRi2FVlTVw,halsey,2
greedy,3rUGC1vUpkDG9CZFHMur1t,tate mcrae,1
viva la vida,4zOfy9kqJlG0ZXvcaSh4gv,coldplay,1
my house,3jomjC6H7YQBRr2CHPtc4y,flo rida,1
peaches feat daniel caesar  giveon,4iJyoBOLtHqaGxP12qzhQI,justin bieber,3
peaches feat daniel caesar  giveon,4iJyoBOLtHqaGxP12qzhQI,daniel caesar,3
peaches feat daniel caesar  giveon,4iJyoBOLtHqaGxP12qzhQI,giveon,3
as it was,4Dvkj6JhhA12EX05fT7y2e,harry styles,1
wildest dreams taylors version,1K39ty6o1sHwwlZwO6a7wK,taylor swift,1
born this way,30XU4suKzCeoCK9YFzdufg,lady gaga,1
love song,4E6cwWJWZw2zWf7VFbH7wf,sara bareilles,1
i kissed a girl,14iN3o8ptQ8cFVZTEmyQRV,katy perry,1
we dont talk anymore feat selena gomez,54PbBpquVfhfrwRwvjSXbI,charlie puth,2
we dont talk anymore feat selena gomez,54PbBpquVfhfrwRwvjSXbI,selena gomez,2
flowers,7DSAEUvxU8FajXtRloy8M0,miley cyrus,1
yes and,7gaA3wERFkFkgivjwbSvkG,ariana grande,1
die young,7EQGXaVSyEDsCWKmUcfpLk,kesha,1
espresso,1QUyotJH8XoTEan8aZdsiV,sabrina carpenter,1
ride,2Z8WuEywRWYTKe1NybPQEW,twenty one pilots,1
i like you a happier song with doja cat,0O6u0VJ46W86TxN9wgyqDj,post malone,2
i like you a happier song with doja cat,0O6u0VJ46W86TxN9wgyqDj,doja cat,2
this is why,7HdXRMw14roDx2a0COWk3M,paramore,1
side to side,44ONERBHALxftQNWq6dmyd,ariana grande,2
side to side,44ONERBHALxftQNWq6dmyd,nicki minaj,2
im good blue,4uUG5RXrOk84mYEfFvj3cK,david guetta,2
im good blue,4uUG5RXrOk84mYEfFvj3cK,bebe rexha,2
a bar song tipsy,2FQrifJ1N335Ljm3TjTVVf,shaboozey,1
houdini,6D8y7Bck8h11byRY88Pt2z,dua lipa,1
sunroof,5YqEzk3C5c3UZ1D5fJUlXA,nicky youre,2
sunroof,5YqEzk3C5c3UZ1D5fJUlXA,dazy,2
kill bill,1Qrg8KqiBpW07V7PNxwwwL,sza,1
apt,5vNRhkKd0yEAg8suGBpjeY,rosé,2
apt,5vNRhkKd0yEAg8suGBpjeY,bruno mars,2
heart attack,4v0hWD4N6qefyFrmSGLjTV,demi lovato,1
love you like a love song,0laYHRpNTS6i8FXdupHkJ4,selena gomez & the scene,1
wake me up,0nrRP2bk19rLc0orkWPQk2,avicii,1
you drive me crazy,1DSJNBNhGZCigg9ll5VeZv,britney spears,1
tek talk,7rdgJ804UQr8ObJGWHLsbP,1st klase,2
tek talk,7rdgJ804UQr8ObJGWHLsbP,rvssian,2
lose control,17phhZDn6oGtzMe56NuWvj,teddy swims,1
party in the usa,3E7dfMvvCLUddWissuqMwr,miley cyrus,1
toxic,6I9VzXrHxO9rA9A5euc8Ak,britney spears,1
fix you,7LVHVU3tWfcxj5aiPFEW4Q,coldplay,1
escapism,5mHdCZtVyb4DcJw8799hZp,raye,2
escapism,5mHdCZtVyb4DcJw8799hZp,070 shake,2
hey brother,4lhqb6JvbHId48OUJGwymk,avicii,1
addicted to u,3QoGJaMzA9hYHXXACCW3Jb,chris webby,1
believe,3OgZdIAHaDMOtYq8Z5iCQ5,mumford & sons,1
still into you,1yjY7rpaAQvKwpdUliHx0d,paramore,1
die with a smile,2plbrEY59IikOBgBGLjaoe,lady gaga,2
die with a smile,2plbrEY59IikOBgBGLjaoe,bruno mars,2
where is the love,0xmjwnQ3FNE6HuWCt2nHdZ,black eyed peas,1
i believe,1vYh9x8UmFTLbXiizk9Qc5,jonas brothers,1
fetch,0XKoxOQcY2kO43KdCGcTJk,justina valentine,1
cupid  twin ver,4gXHG9domIKO6FIViDISA4,fifty fifty,1
dont cha,4o3cq2szX7THGyZDsWtp59,the pussycat dolls,2
dont cha,4o3cq2szX7THGyZDsWtp59,busta rhymes,2
hard times,0w5Bdu51Ka25Pf3hojsKHh,paramore,1
get lucky feat pharrell williams and nile rodgers,69kOkLUCkxIZYexIgSG8rq,daft punk,3
get lucky feat pharrell williams and nile rodgers,69kOkLUCkxIZYexIgSG8rq,pharrell williams,3
get lucky feat pharrell williams and nile rodgers,69kOkLUCkxIZYexIgSG8rq,nile rodgers,3
people,26b3oVLrRUaaybJulow9kz,libianca,1
careful,6h5IL0pHkYw2SXD7OYSDxj,george cooksey,2
careful,6h5IL0pHkYw2SXD7OYSDxj,mblue,2
last friday night tgif,3KoTtGEDiBwUWzdRQVh9lh,katy perry,1
brave,6Uy6K3KdmUdAfelUp0SeXn,sara bareilles,1
tik tok,0HPD5WQqrq7wPWR7P7Dw1i,kesha,1
moonlight,2i2gDpKKWjvnRTOZRhaPh2,kali uchis,1
call me maybe,20I6sIOMTCkB6w7ryavxtO,carly rae jepsen,1
on yo head,2di5TT0I0zFJdqhQpBtgPb,4ourty8,1
running out of time,5NRtdsFFlmyE8qDMgS08PE,paramore,1
see you again feat charlie puth,2JzZzZUQj3Qff7wapcbKjc,wiz khalifa,2
see you again feat charlie puth,2JzZzZUQj3Qff7wapcbKjc,charlie puth,2
happy,60nZcImufyMA1MKQY3dcCH,pharrell williams,1
womanizer,4fixebDZAVToLbUCuEloa2,britney spears,1
sign of the times,5Ohxk2dO5COHF1krpoPigN,harry styles,1
bet dat,5JCogXAhg0phRFvRcQMHyr,flight,1
sm,0C4ejWmOTMv8vuYj85mf8m,rihanna,1
sugar,2iuZJX9X9P0GKaE93xcPjk,maroon 5,1
rosecolored boy,2RJfK2pOvGpnxC255YOy5k,paramore,1
this love taylors version,5QVVjX0ZItqlVpEuVCM9Yg,taylor swift,1
moose head,2ZrnFac5tpQa12XNRfU3j3,chris webby,1
set fire to the rain,3di5hcvxxciiqwMH1jarhY,adele,1
pump it,2ygMBIctKIAfbEBcT9065L,black eyed peas,1
bad liar,2RSHsoi04658QL5xgQVov3,imagine dragons,1
single ladies put a ring on it,5mMjkxGijQB4JZallYrkOW,beyoncé,1
camera shy,1gFGXOA36IBAMUTK6GcjRZ,ghais guevara,1
baby one more time,3MjUtNVVq3C8Fn0MP3zhXa,britney spears,1
apple,19RybK6XDbAVpcdxSbZL1o,charli xcx,1
run it,7xYnUQigPoIDAMPVK79NEq,chris brown,2
run it,7xYnUQigPoIDAMPVK79NEq,juelz santana,2
royals,2dLLR6qlu5UJ5gk0dKz0h3,lorde,1
link,1VQivuDScakUWIZN5dECPG,rvdent,2
link,1VQivuDScakUWIZN5dECPG,ku$h drifter,2
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,lmfao,3
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,lauren bennett,3
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,goonrock,3
birds of a feather,6dOtVTDdiauQNBQEDOtlAB,billie eilish,1
dancing in the moonlight,1FHNctV68GUNLgXclG2DtR,toploader,1
bad day,0mUyMawtxj1CJ76kn9gIZK,daniel powter,1
go clear,3emQQCKlkvfoD68yXJgmiB,jaidyn hurst,1
we found love,0U10zFw4GlBacOy9VDGfGL,rihanna,2
we found love,0U10zFw4GlBacOy9VDGfGL,calvin harris,2
firework,0kUMtZVaYb7EETkBdrEXXA,katy perry,1
thats so true,7ne4VBA60CxGM75vw0EYad,gracie abrams,1
heat waves,3USxtqRwSYz57Ewm6wWRMp,glass animals,1
broken boi boi,4QPSbhqdI31jlL1hHI1imw,flight,1
since u been gone,3xrn9i8zhNZsTtcoWgQEAd,kelly clarkson,1
we cant stop,2y4lAQpi5VTNLu2ldeTdUH,miley cyrus,1
gangnam style 강남스타일,03UrZgTINDqvnUMbbIMhql,psy,1
beautiful,3TCauNPqFiniaYHBvEVoHG,christina aguilera,1
pulluh,3a7D2kFenQmIrLDZv91LUZ,voodoobaby,1
paparazzi,02XnQdf7sipaKBBHixz3Zp,lady gaga,1
snow hey oh,2aibwv5hGXSgw7Yru8IYTO,red hot chili peppers,1
rude,18n3RlT0UNcy2yHImHy8IT,magic!,1
deep in love,6QKajuIu0mBuiUZGII9BKn,dfl checo,1
radioactive,62yJjFtgkhUrXktIoSjgP2,imagine dragons,1
all about that bass,5jE48hhRu8E6zBDPRSkEq7,meghan trainor,1
daylight,1odExI7RdWc4BT515LTAwj,david kushner,1
