Artists,count
rihanna,20
taylor swift,19
ariana grande,17
katy perry,17
britney spears,16
lady gaga,14
dua lipa,11
beyoncé,10
selena gomez,8
nicki minaj,8
paramore,8
sabrina carpenter,8
avril lavigne,7
little mix,7
selena gomez & the scene,7
miley cyrus,7
demi lovato,7
ava max,6
kesha,6
bruno mars,6
destiny's child,5
chappell roan,5
doja cat,5
justin bieber,5
tate mcrae,5
jacob tillberg,5
justina valentine,4
sia,4
one direction,4
riff raff,4
ku$h drifter,4
christina aguilera,4
rita ora,4
maroon 5,4
flo rida,4
olivia rodrigo,4
ed sheeran,4
kelly clarkson,3
the chainsmokers,3
tove lo,3
calvin harris,3
p!nk,3
charli xcx,3
meghan trainor,3
pharrell williams,3
charlie puth,3
coldplay,3
avicii,3
twenty one pilots,3
david guetta,3
