Track Name,Track ID,Artists,Artist Count
It's ok I'm ok,24XihnoVPWXlKJ4BgXqjVM,tate mcrae,1
Espresso,2qSkIjg1o9h3YT9RAgYN75,sabrina carpenter,1
That’s So True,7ne4VBA60CxGM75vw0EYad,gracie abrams,1
Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,katy perry,1
bye,1Rweq7vNjK4kZBbGrmxQsl,ariana grande,1
"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,chappell roan,1
Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,carly rae jepsen,1
7 rings,6ocbgoVGwYJhOv1GgI9NsF,ariana grande,1
How You Get The Girl (Taylor's Version),75W3SngKzTuoQ94uLf3y82,taylor swift,1
Apple,19RybK6XDbAVpcdxSbZL1o,charli xcx,1
Naturally,1YaVmBh7EAeR54FIjuFcb5,selena gomez & the scene,1
Hurricane,7gQ5c5HY6zMsIck6QLY9dJ,bridgit mendler,1
Close To You,5wbg8kepMFoMzHOEuxiI0q,gracie abrams,1
Please Please Please,5N3hjp1WNayUPZrA8kJmJP,sabrina carpenter,1
Femininomenon,53IRnAWx13PYmoVYtemUBS,chappell roan,1
Superstar,5u5MpBnvJejW9dHPrfWEXZ,jamelia,1
California Gurls,6tS3XVuOyu10897O3ae7bi,"katy perry, snoop dogg",2
Feather,2Zo1PcszsT9WQ0ANntJbID,sabrina carpenter,1
Ugly Heart,1Vv0MPcooEoQzVZYfKMgKW,g.r.l.,1
Taste,5G2f63n7IPVPPjfNIGih7Q,sabrina carpenter,1
Really Don't Care,3xSp2wM7K4wrjZivuCRwox,"demi lovato, cher lloyd",2
greedy,3rUGC1vUpkDG9CZFHMur1t,tate mcrae,1
I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,katy perry,1
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,miley cyrus,1
You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,taylor swift,1
"yes, and?",7gaA3wERFkFkgivjwbSvkG,ariana grande,1
Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,taylor swift,1
Cool Girl,3tJ4y2Zqx6gM9xOAuFfsSF,tove lo,1
Shower,3DmW6y7wTEYHJZlLo1r6XJ,becky g,1
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,ariana grande,1
Pink Friday Girls,44L2bY93uD65CEHWbozpx4,nicki minaj,1
Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,katy perry,1
Super Bass,3hlksXnvbKogFdPbpO9vel,nicki minaj,1
Smile,4bia7OWZPoswlzXCqESYrR,avril lavigne,1
all-american bitch,34sOdxWu9FljH84UXdRwu1,olivia rodrigo,1
Tusa,7k4t7uLgtOxPwTpFmtJNTY,"karol g, nicki minaj",2
Break Free,12KUFSHFgT0XCoiSlvdQi4,"ariana grande, zedd",2
Gimme More,6ic8OlLUNEATToEFU3xmaH,britney spears,1
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,britney spears,1
Radar,29Srmzqyig5Tg5EitFXsb8,britney spears,1
Kings & Queens,7a53HqqArd4b9NF4XAmlbI,ava max,1
Real Girl,3tN2RIJYSNoELqFlNFeP37,mutya buena,1
Telephone,6nCDnzErqalOaIY3EJM8NK,"lady gaga, beyoncé",2
I Wanna Go,5cCAZS9VhLGEDV4NCfieeg,britney spears,1
Single Soon,6iF4RgIjDvDqyW13PezSj3,selena gomez,1
Vicious,6Alp15t6urC4opjJiyOqZu,sabrina carpenter,1
Material Girl,22sLuJYcvZOSoLLRYev1s5,madonna,1
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,miley cyrus,1
Blow Me (One Last Kiss),4k80K0b6KZ2QjAYkXON7q6,p!nk,1
Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,rihanna,1
Wannabe,0n6FMFq5bE22tNTmd6L9U4,spice girls,1
I Love It (feat. Charli XCX),1rhXXcrYp9RRObN5gsmqCU,"icona pop, charli xcx",2
Domino,7kg7gCtbQF6zPk0dKpsWTY,jessie j,1
Girlfriend,45hOioMDJktr86iKDHC8gr,avril lavigne,1
Look At Her Now,7eOkHIcaoUhngxxypM5Ajr,selena gomez,1
Kill Em With Kindness,7KxhSJOYiqCDclXDBNlFSZ,selena gomez,1
Hands To Myself,3CJvmtWw2bJsudbAC5uCQk,selena gomez,1
Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,demi lovato,1
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,dua lipa,1
Blow Your Mind (Mwah),7kJlTKjNZVT26iwiDUVhRm,dua lipa,1
Sledgehammer,4rUTAkOU7OkVGeQuyQCHhF,fifth harmony,1
Touch,1gG5MoWK5SmHUcQPa2jxdP,little mix,1
Shout Out to My Ex,0ErK6K0kYr0Ow2RkPMhmMs,little mix,1
Wings,3180WDzph4WrS4sLSNcGfa,little mix,1
Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,dua lipa,1
Girls Like (feat. Zara Larsson),0rHVd8h0cFwgLgPFem6S60,"tinie tempah, zara larsson",2
No Excuses,7fCNUWi6uflDTQ08srxMZk,meghan trainor,1
Motivation,0rIAC4PXANcKmitJfoqmVm,normani,1
Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,ava max,1
Lush Life,2kvgmr5CFhSvleQqTjB3eP,zara larsson,1
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,mabel,1
Mad Love,6ImEBuxsbuTowuHmg3Z2FO,mabel,1
I Would Like,0k9gqa8mjVMeoFuGIsudtY,zara larsson,1
Ain't My Fault,2K9OuOMhtNGtbbqQhALv8i,zara larsson,1
we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4,ariana grande,1
Ciao Adios,3EfugazgSddQvzZpkof5I4,anne-marie,1
Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,"maggie lindemann, cade, cheat codes",3
Fight Song,37f4ITSlgPX81ad2EvmVQr,rachel platten,1
no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,ariana grande,1
Va Va Voom,2jATUzETZL49e6SywauZKE,nicki minaj,1
Stupid Love,7yBbV2k2S2uhaQc24NF2xt,lady gaga,1
All In My Head (Flex) (feat. Fetty Wap),62aXseVSNAFLRweK5nyb3F,"fifth harmony, fetty wap",2
S&M Remix,44FAj28ivN0HJ0xVYwQ9nL,"rihanna, britney spears",2
Work from Home (feat. Ty Dolla $ign),1JsUAmsjNz6oGuRTFG93qH,"fifth harmony, ty dolla $ign",2
