name,artist,gender,lyrics
STAY (with Justin Bieber),Justin Bieber,0,"166 ContributorsI do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)


I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here


Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here


I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay


Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here


I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

Woah-oh
I need you to stay, need you to stay, hey116Embed"
Ghost,Justin Bieber,0,"116 Lyrics[Verse 1]
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life

[Verse 2]
Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me
Your memory is ecstasy (Oh)
I miss you more than life
I miss you more than life
You might also like[Bridge]
Woah
Na-na-na
More than life (Oh)

[Chorus]
So if I can't get close to you
I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life19Embed"
Love Yourself,Justin Bieber,0,"223 ContributorsTranslationsEspañolPortuguêsDeutschالعربيةPolskiLove Yourself Lyrics[Verse 1]
For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness' sake
You think I'm cryin' on my own, well, I ain't

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
You might also like[Verse 2]
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
[Bridge]
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
[Produced by Benny Blanco]150Embed"
Sorry,Justin Bieber,0,"202 Lyrics[Written by Julia Michaels, Justin Tranter, and Justin Bieber]

[Verse 1]
You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice, I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
You might also like[Verse 2]
I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

[Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Drop]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?101Embed"
Mistletoe,Justin Bieber,0,"55 Lyrics[Intro]
(Let's go)

[Verse 1]
It's the most beautiful time of the year
Lights fill the streets, spreadin' so much cheer
I should be playin' in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop starin' at your face
I should be playin' in the winter snow
But I'ma be under the mistletoe

[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you (Yeah, you know?)
(With you) Under the mistletoe

[Verse 2]
Everyone's gatherin' around the fire
Chestnuts roastin' like a hot July
I should be chillin' with my folks, I know
But I'ma be under the mistletoe
Word on the street, Santa's comin' tonight
Reindeers flyin' through the sky so high
I should be makin' a list, I know
But I'ma be under the mistletoe
You might also like[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe (Yeah)
(With you) Shawty, with you
(With you) Shawty, with you (Oh)
(With you) Under the mistletoe

[Bridge]
Hey, love
The wise men followed a star (The wise men followed a star)
The way I followed my heart
And it led me to a miracle
Hey, love (Hey, love)
Don't you buy me nothin' (Don't you buy me nothin')
'Cause I am feelin' one thing
Your lips on my lips
That's a merry, merry Christmas

[Verse 1]
It's the most beautiful time of the year
Lights fill the streets, spreadin' so much cheer
I should be playin' in the winter snow (I know)
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop starin' at your face
I should be playin' in the winter snow
But I'ma be under the mistletoe
[Chorus]
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe (Yeah)
(With you) Shawty, with you
(With you) Shawty, with you (Oh, yeah)
(With you) Under the mistletoe (Under the mistletoe)

[Outro]
Kiss me underneath the mistletoe (Kiss me underneath the mistletoe)
Show me, baby, that you love me so (Oh-oh, oh-oh-oh, oh-oh, oh-oh-oh)
Oh, oh, oh (Yeah)
Kiss me underneath the mistletoe (Kiss me under the mistletoe)
Show me, baby, that you love me so (Oh, woah)
Oh, oh, oh (Oh, woah, mm-mm-mm-mm)25Embed"
Beauty And A Beat,Justin Bieber,0,"134 Lyrics[Intro: Nicki Minaj]
Yeah
Young Money
Nicki Minaj
Justin, rrr

[Verse 1: Justin Bieber]
Show you off
Tonight, I wanna show you off (Ayy-ayy-ayy)
What you got
A billion could've never bought (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber]
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do
Cause all-
You might also like[Instrumental Drop]

[Verse 2: Justin Bieber]
Body rock
Girl, I can feel your body rock (Ayy-ayy-ayy)
Take a bow
You're on the hottest ticket now, ooh (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I want to show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber & Nicki Minaj]
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do (Uh, uh)
Cause all-

[Verse 3: Nicki Minaj, Justin Bieber]
I-I-I-I-In time, ink lines
B-B-Bitches couldn't get on my incline
World tours, i-i-it's mine
Ten little letters on a big sign
Justin Bieber
You know I'ma hit 'em with the ether
Buns out, wiener
But I gotta keep an eye out for Selener
B-B-Beauty, beauty and the beast
Beauty from the East
Beautiful confessions of the priest
Beast, beauty from the streets
Beat will get deceased
Every time Beauty on the beat eats
Body rock (Yeah, yeah)
Oh (Yeah, yeah)
I wanna feel your body rock (Let's go, let's go)
(Frrrrr, yeah)
[Chorus: Justin Bieber]
'Cause all I need (All I need is love)
Is a beauty and a beat (A beat)
Who can make my life complete (Complete, oh-oh-oh, oh woah)
It's all 'bout you (All I need is you)
When the music makes you move
Baby, do it like you do (Do)
Cause all-

[Instrumental Drop]46Embed"
Baby,Justin Bieber,0,"242 Lyrics[Produced by The-Dream and Tricky Stewart]

[Intro: Justin Bieber]
Oh, woah
Oh, woah
Oh, woah

[Verse 1: Justin Bieber & Ludacris]
You know you love me (Yo), I know you care (Uh-huh)
Just shout whenever (Yo), and I'll be there (Uh-huh)
You are my love (Yo), you are my heart (Uh-huh)
And we will never, ever, ever be apart (Yo, uh-huh)
Are we an item? (Yo) Girl, quit playin' (Uh-huh)
We're just friends (Yo), what are you sayin'? (Uh-huh)
Said, ""There's another"" (Yo), and looked right in my eyes (Uh-huh)
My first love broke my heart for the first time, and I was like (Yo, uh-huh)

[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
You might also like[Verse 2: Justin Bieber & Ludacris]
Oh, for you, I would've done whatever (Uh-huh)
And I just can't believe we ain't together (Yo, uh-huh)
And I wanna play it cool (Yo), but I'm losin' you (Uh-huh)
I'll buy you anything (Yo), I'll buy you any ring (Uh-huh)
And I'm in pieces (Yo), baby, fix me (Uh-huh)
And just shake me till you wake me from this bad dream (Yo, uh-huh)
I'm goin' down (Yo), down, down, down (Uh-huh)
And I just can't believe my first love won't be around, and I'm like

[Chorus: Justin Bieber & Ludacris]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine (Luda!)

[Verse 3: Ludacris]
When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazing
And now my heart is breakin', but I just keep on sayin'
[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine

[Outro: Justin Bieber]
I'm gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Gone, gone, gone, gone), I'm gone73Embed"
bad guy,Justin Bieber,0,"111 Lyrics[Intro: Billie Eilish & Justin Bieber]
Hmm, da-da-da-da-da
Da-da-da, hmm
Da-da-da-hmm (Yeah, yeah)
Oh, ah

[Verse 1: Billie Eilish]
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul so cynical

[Chorus: Billie Eilish]
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh
You might also like[Post-Chorus: Billie Eilish]
I'm the bad guy

[Verse 2: Justin Bieber]
Gold teeth, my neck, my wrist is froze (So icy)
I got more ice than, than the snow
That guy, don't act like you don't know
That guy, so critical (Skrrt)
Tattoos on both my sleeves
Yeah, I don't sleep, please don't wake me
Loosen my tie up so I can breathe
It ain't political, oh no (Uh-uh)

[Chorus: Justin Bieber & Billie Eilish]
Yeah, I'm a bad guy
Ain't no holdin' back guy
Come off like I'm mad guy
Always got your back guy
Yeah, I'm the real type
Keep you full of thrills type
Show you what it feels like
Got an open invite
I'm the bad guy, woah-ooh
(Duh)

[Post-Chorus: Billie Eilish]
I'm the bad guy
Duh
I'm only good at bein' bad, bad
[Bridge: Billie Eilish & Justin Bieber]
(Ahh)
(Ah)
I like when you get mad
I guess I'm pretty glad that you're alone (So icy)
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne (Let's go)

[Outro: Billie Eilish & Justin Bieber]
I'm a bad guy (Damn right)
I-I'm a bad guy (Bad guy, aw, yeah, bad guy)
I'm a bad...27Embed"
I Don't Care (with Justin Bieber),Justin Bieber,0,"21 ContributorsGrandmamie* LyricsLyrics from Snippets


Jumping in my Benz, Benz (Skrr, skrr)
I just fucked 'em twins, twins (Twin, twin)
All my bitches 10s, 10s (Flah, flah, flah)
You still got spinning rims, man
...


I just took a Xanny (Oh my God)
In front of my grandmammy (Close your eyes)
She said ""What is that, man?"" (Oh my God)
I said ""Grandma, it is candy"" (Close call)
My bitch is...


...
I feel like Justin Bieber (Justin Bieber)
I got money like I'm Justin Bieber (Justin Bieber)
My bullets are like heat seekers (Catching you)
Bitch I will just treat you (Yes, I do)You might also likeEmbed"
What Do You Mean?,Justin Bieber,0,"132 Lyrics[Intro]

[Chorus]
What do you mean?  Oh, oh
When you nod your head yes, but you wanna  say no
What do you mean?  Hey, yeah
When you don't want me to move, but you tell me to go
What do  you mean? Oh,  what do you mean?
Said you're runnin' outta time,  what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

[Verse 1]
You're so indecisive of what I'm sayin'
Tryna catch the beat, make up your heart
Don't know if you're happy or complainin'
Don't want for us to end, where do I start?

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right (Right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then  between ('Tween)
Oh, I really wanna know

[Chorus]
What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? Oh, what do you mean?
Said you're runnin' outta time, what do you mean?
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean?
You might also like[Verse 2]
You're overprotective when I'm leavin'
Tryna compromise, but I can’t win
You wanna make a point, but you keep preachin'
You had me from the start, won't let this end

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right
(Turn right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then between ('Tween)
Oh, I really wanna know

[Chorus]
What do you mean? Oh, oh (Yeah, yeah, yeah, yeah)
When you nod your head yes, but you wanna say no
What do you mean? (Oh, what do you mean?) Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? (I wanna know, ooh)
Oh, what do you mean? (Ooh)
Said you're runnin' outta time, what do you mean? (Oh, baby)
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean? (Don't be so selfish, baby, yeah, yeah) Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? (You're so confusin', baby) Hey, yeah
When you don't want me to move (Hey), but you tell me to go
What do you mean? (Be more straightforward)
Oh, what do you mean? (Hey, ah, ah, ah)
Said you're runnin' outta time, what do you mean? (Hey, ah, ah, ah)
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?84Embed"
